year,month,day,d34S,sulfate_ppm,sample_type
2005,3,28,15.49,130.03,matrix flow
2005,3,28,14.44,233.44,matrix flow
2005,3,28,16.46,169.39,matrix flow
2005,3,28,15.12,186.73,matrix flow
2005,3,28,17.19,88.35,matrix flow
2005,3,28,14.78,180.68,matrix flow
2005,3,28,15.27,55.73,matrix flow
2005,3,28,13.32,231.1,matrix flow
2005,3,28,13.58,187.89,matrix flow
2005,3,28,17.15,174.16,matrix flow
2005,3,28,15.38,202.45,matrix flow
2005,3,28,16.72,182.92,matrix flow
2005,3,28,15.91,108.25,matrix flow
2005,3,28,14.63,251.55,matrix flow
2005,4,12,15.91,95.14,matrix flow
2005,4,12,15.15,140.54,matrix flow
2005,4,12,16.98,176.38,matrix flow
2005,4,12,16.68,12.53,matrix flow
2005,4,12,15,15.03,matrix flow
2005,4,12,14.11,16.28,matrix flow
2005,4,12,17.44,147.56,matrix flow
2005,4,12,15.73,22.42,matrix flow
2005,4,12,16.51,211.79,matrix flow
2005,9,24,14.51,82.73,matrix flow
2005,9,24,12.03,78.6,matrix flow
2005,9,24,14.83,28.42,matrix flow
2005,9,24,15.29,40.75,matrix flow
2005,9,24,13.45,58.13,matrix flow
2005,9,24,10.58,8.15,matrix flow
2005,12,5,12.3,12.43,matrix flow
2005,12,5,12.71,14.92,matrix flow
2005,12,5,14.45,29.29,matrix flow
2005,12,5,10.46,20.01,matrix flow
2005,12,5,12.71,25.85,matrix flow
2005,12,5,14.5,45.61,matrix flow
2005,12,5,8.92,7.9,matrix flow
2005,12,5,9.56,16.34,matrix flow
2005,12,5,12.22,50.36,matrix flow
2005,12,28,13.95,20.33,matrix flow
2005,12,28,12.73,18.79,matrix flow
2005,12,28,12.08,35.59,matrix flow
2005,12,28,13.94,44.2,matrix flow
2005,12,28,9.49,6.43,matrix flow
2005,12,28,13.65,38.8,matrix flow
2005,12,28,13,32.47,matrix flow
2005,12,28,12.65,19.93,matrix flow
2005,12,28,10.9,21.11,matrix flow
2005,12,28,15.35,32.65,matrix flow
2005,12,28,12.73,45.59,matrix flow
2005,12,28,12.63,40.68,matrix flow
2006,1,2,13.29,30.72,matrix flow
2006,1,2,13.08,23.9,matrix flow
2006,1,2,9.79,4.45,matrix flow
2006,1,2,13.23,37.27,matrix flow
2006,1,2,11.91,22.61,matrix flow
2006,1,2,12.52,31.15,matrix flow
2006,1,2,13.02,30.07,matrix flow
2006,1,7,14.82,16.6,matrix flow
2006,1,7,13.31,40.24,matrix flow
2006,1,7,13.56,20.59,matrix flow
2006,1,7,14.06,20.94,matrix flow
2006,1,7,10.91,4.16,matrix flow
2006,1,7,12.93,22.27,matrix flow
2006,1,7,13.56,21.92,matrix flow
